"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ATHE","Alterity Therapeutics Limited","2.83","$63.97M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/athe",
"AGCUU","Altimeter Growth Corp.","12","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/agcuu",
"ALT","Altimmune, Inc.","9.42","$311.53M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alt",
"ASPS","Altisource Portfolio Solutions S.A.","12.68","$198.44M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/asps",
"ALTU","Altitude Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/altu",
"ALTUU","Altitude Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/altuu",
"AIMC","Altra Industrial Motion Corp.","55.74","$3.61B","2006","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aimc",
"ALTM","Altus Midstream Company","34.99","$568.46M","2017","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/altm",
"ALXO","ALX Oncology Holdings Inc.","53.32","$1.98B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alxo",
"AMAL","Amalgamated Bank","13.29","$412.65M","2018","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/amal",
"AMRN","Amarin Corporation plc","4.69","$1.82B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","31.09","$220.43M","n/a","Basic Industries","Other Specialty Stores","https://old.nasdaq.com/symbol/amrk",
"AMZN","Amazon.com, Inc.","3131.06","$1571.01B","1997","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","14.8","$677.98M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/ambc",
"AMBA","Ambarella, Inc.","60.725","$2.1B","2012","Technology","Semiconductors","https://old.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","28.39","$1.17B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/amcx",
